"prfInformationCarrier";"prfYear";"prfPrdOilNetMillSm3";"prfPrdGasNetBillSm3";"prfPrdNGLNetMillSm3";"prfPrdCondensateNetMillSm3";"prfPrdOeNetMillSm3";"prfPrdProducedWaterInFieldMillSm3";"prfNpdidInformationCarrier"
"NORDØST FRIGG";"1987";"0.000";"1.143";"0.000";"0.005";"1.148";"0.000";"43568"
"NORDØST FRIGG";"1988";"0.000";"1.121";"0.000";"0.007";"1.128";"0.000";"43568"
"NORDØST FRIGG";"1989";"0.000";"1.123";"0.000";"0.008";"1.131";"0.000";"43568"
"NORDØST FRIGG";"1990";"0.000";"1.224";"0.000";"0.012";"1.235";"0.000";"43568"
"NORDØST FRIGG";"1991";"0.000";"0.797";"0.000";"0.008";"0.805";"0.000";"43568"
"NORDØST FRIGG";"1992";"0.000";"0.486";"0.000";"0.006";"0.492";"0.000";"43568"
"NORDØST FRIGG";"1993";"0.000";"0.079";"0.000";"0.001";"0.080";"0.000";"43568"
"NORNE";"1997";"0.415";"0.000";"0.000";"0.000";"0.415";"0.000";"43778"
"NORNE";"1998";"6.316";"0.000";"0.000";"0.000";"6.316";"0.000";"43778"
"NORNE";"1999";"8.305";"0.000";"0.000";"0.000";"8.305";"0.000";"43778"
"NORNE";"2000";"10.420";"0.000";"0.000";"0.000";"10.420";"0.139";"43778"
"NORNE";"2001";"11.297";"1.085";"0.208";"0.000";"12.591";"0.303";"43778"
"NORNE";"2002";"10.270";"0.790";"0.146";"0.000";"11.205";"1.056";"43778"
"NORNE";"2003";"8.552";"0.756";"0.181";"0.000";"9.489";"1.856";"43778"
"NORNE";"2004";"7.008";"0.956";"0.205";"0.000";"8.169";"2.473";"43778"
"NORNE";"2005";"5.267";"0.946";"0.208";"0.000";"6.420";"4.953";"43778"
"NORNE";"2006";"4.849";"0.435";"0.114";"0.000";"5.398";"5.463";"43778"
"NORNE";"2007";"4.274";"0.510";"0.135";"0.000";"4.919";"5.854";"43778"
"NORNE";"2008";"3.482";"0.343";"0.092";"0.000";"3.916";"6.450";"43778"
"NORNE";"2009";"2.214";"0.180";"0.048";"0.000";"2.443";"6.399";"43778"
"NORNE";"2010";"1.931";"0.169";"0.046";"0.000";"2.146";"6.467";"43778"
"NORNE";"2011";"1.615";"0.257";"0.072";"0.000";"1.944";"8.107";"43778"
"NORNE";"2012";"0.743";"0.158";"0.044";"0.000";"0.946";"6.123";"43778"
"NORNE";"2013";"0.802";"0.122";"0.037";"0.000";"0.961";"5.681";"43778"
"NORNE";"2014";"0.706";"0.119";"0.044";"0.000";"0.868";"8.085";"43778"
"NORNE";"2015";"0.631";"0.184";"0.062";"0.000";"0.877";"7.865";"43778"
"NORNE";"2016";"0.430";"0.129";"0.033";"0.000";"0.592";"5.905";"43778"
"NORNE";"2017";"0.570";"0.110";"0.030";"0.000";"0.710";"7.226";"43778"
"NORNE";"2018";"0.615";"0.184";"0.037";"0.000";"0.836";"7.458";"43778"
"NORNE";"2019";"0.433";"0.712";"0.128";"0.000";"1.273";"5.920";"43778"
"NORNE";"2020";"0.536";"0.906";"0.147";"0.000";"1.590";"6.510";"43778"
"NORNE";"2021";"0.581";"0.826";"0.114";"0.000";"1.521";"5.591";"43778"
"NORNE";"2022";"0.412";"0.934";"0.082";"0.000";"1.427";"5.189";"43778"
"NORNE";"2023";"0.228";"0.674";"0.046";"0.000";"0.948";"2.626";"43778"
"NOVA";"2022";"0.107";"0.000";"0.000";"0.000";"0.107";"0.000";"33197696"
"NOVA";"2023";"0.996";"0.000";"0.000";"0.000";"0.996";"0.000";"33197696"
"ODA";"2019";"0.651";"0.000";"0.014";"0.000";"0.665";"0.000";"29412516"
"ODA";"2020";"1.272";"0.000";"0.026";"0.000";"1.298";"0.112";"29412516"
"ODA";"2021";"0.490";"0.000";"0.008";"0.000";"0.498";"0.442";"29412516"
"ODA";"2022";"0.986";"0.000";"0.024";"0.000";"1.010";"0.024";"29412516"
"ODA";"2023";"0.492";"0.000";"0.008";"0.000";"0.500";"0.171";"29412516"
"ODIN";"1984";"0.000";"1.515";"0.000";"0.016";"1.532";"0.000";"43610"
"ODIN";"1985";"0.000";"3.549";"0.000";"0.028";"3.577";"0.000";"43610"
"ODIN";"1986";"0.000";"3.371";"0.000";"0.021";"3.392";"0.000";"43610"
"ODIN";"1987";"0.000";"3.475";"0.000";"0.021";"3.496";"0.000";"43610"
"ODIN";"1988";"0.000";"2.729";"0.000";"0.015";"2.744";"0.000";"43610"
"ODIN";"1989";"0.000";"2.827";"0.000";"0.019";"2.846";"0.000";"43610"
"ODIN";"1990";"0.000";"2.625";"0.000";"0.020";"2.645";"0.000";"43610"
"ODIN";"1991";"0.000";"2.810";"0.000";"0.030";"2.840";"0.000";"43610"
"ODIN";"1992";"0.000";"2.289";"0.000";"0.023";"2.312";"0.000";"43610"
"ODIN";"1993";"0.000";"1.503";"0.000";"0.016";"1.520";"0.000";"43610"
"ODIN";"1994";"0.000";"0.565";"0.000";"0.007";"0.572";"0.000";"43610"
"ORMEN LANGE";"2007";"0.000";"1.670";"0.000";"0.135";"1.805";"0.002";"2762452"
"ORMEN LANGE";"2008";"0.000";"11.437";"0.000";"0.967";"12.405";"0.000";"2762452"
"ORMEN LANGE";"2009";"0.000";"20.782";"0.000";"1.646";"22.427";"0.000";"2762452"
"ORMEN LANGE";"2010";"0.000";"20.851";"0.000";"1.529";"22.380";"0.000";"2762452"
"ORMEN LANGE";"2011";"0.000";"21.739";"0.000";"1.654";"23.393";"0.000";"2762452"
"ORMEN LANGE";"2012";"0.000";"22.203";"0.000";"1.734";"23.937";"0.000";"2762452"
"ORMEN LANGE";"2013";"0.000";"21.451";"0.000";"1.524";"22.975";"0.000";"2762452"
"ORMEN LANGE";"2014";"0.000";"20.210";"0.000";"1.364";"21.573";"0.000";"2762452"
"ORMEN LANGE";"2015";"0.000";"16.791";"0.000";"1.067";"17.858";"0.000";"2762452"
