"prfInformationCarrier";"prfYear";"prfPrdOilNetMillSm3";"prfPrdGasNetBillSm3";"prfPrdNGLNetMillSm3";"prfPrdCondensateNetMillSm3";"prfPrdOeNetMillSm3";"prfPrdProducedWaterInFieldMillSm3";"prfNpdidInformationCarrier"
"REV";"2010";"0.291";"1.129";"0.019";"0.025";"1.464";"0.000";"4467554"
"REV";"2011";"0.084";"0.481";"0.033";"0.020";"0.617";"0.006";"4467554"
"REV";"2012";"0.057";"0.296";"0.022";"0.012";"0.387";"0.007";"4467554"
"REV";"2013";"0.025";"0.063";"0.008";"0.003";"0.098";"0.012";"4467554"
"REV";"2014";"0.021";"0.036";"0.004";"0.001";"0.062";"0.009";"4467554"
"REV";"2015";"0.014";"0.018";"0.002";"0.001";"0.035";"0.005";"4467554"
"REV";"2016";"0.005";"0.006";"0.002";"0.000";"0.013";"0.003";"4467554"
"REV";"2017";"0.008";"0.017";"0.002";"0.001";"0.028";"0.005";"4467554"
"REV";"2018";"0.002";"0.004";"0.000";"0.000";"0.007";"0.002";"4467554"
"REV";"2019";"0.002";"0.007";"0.000";"0.000";"0.010";"0.001";"4467554"
"REV";"2020";"0.002";"0.006";"0.000";"0.000";"0.008";"0.001";"4467554"
"REV";"2021";"0.006";"0.009";"0.000";"0.000";"0.016";"0.002";"4467554"
"REV";"2022";"0.003";"0.002";"0.000";"0.000";"0.006";"0.000";"4467554"
"REV";"2023";"0.001";"0.002";"0.000";"0.000";"0.003";"0.001";"4467554"
"RINGHORNE ØST";"2006";"0.934";"0.031";"0.000";"0.000";"0.965";"0.034";"3505505"
"RINGHORNE ØST";"2007";"1.622";"0.025";"0.000";"0.000";"1.646";"0.048";"3505505"
"RINGHORNE ØST";"2008";"1.979";"0.035";"0.000";"0.000";"2.015";"0.163";"3505505"
"RINGHORNE ØST";"2009";"1.603";"0.043";"0.000";"0.000";"1.647";"0.757";"3505505"
"RINGHORNE ØST";"2010";"1.094";"0.031";"0.000";"0.000";"1.125";"0.995";"3505505"
"RINGHORNE ØST";"2011";"0.945";"0.028";"0.000";"0.000";"0.973";"1.051";"3505505"
"RINGHORNE ØST";"2012";"0.922";"0.023";"0.000";"0.000";"0.946";"1.119";"3505505"
"RINGHORNE ØST";"2013";"0.865";"0.010";"0.000";"0.000";"0.875";"1.181";"3505505"
"RINGHORNE ØST";"2014";"0.702";"0.012";"0.000";"0.000";"0.714";"1.134";"3505505"
"RINGHORNE ØST";"2015";"0.634";"0.015";"0.000";"0.000";"0.649";"1.215";"3505505"
"RINGHORNE ØST";"2016";"0.518";"0.012";"0.000";"0.000";"0.530";"1.296";"3505505"
"RINGHORNE ØST";"2017";"0.439";"0.000";"0.000";"0.000";"0.439";"1.209";"3505505"
"RINGHORNE ØST";"2018";"0.277";"0.000";"0.000";"0.000";"0.277";"1.370";"3505505"
"RINGHORNE ØST";"2019";"0.280";"0.000";"0.000";"0.000";"0.280";"1.427";"3505505"
"RINGHORNE ØST";"2020";"0.187";"0.000";"0.000";"0.000";"0.187";"1.140";"3505505"
"RINGHORNE ØST";"2021";"0.105";"0.000";"0.000";"0.000";"0.105";"0.835";"3505505"
"RINGHORNE ØST";"2022";"0.114";"0.000";"0.000";"0.000";"0.114";"0.606";"3505505"
"RINGHORNE ØST";"2023";"0.030";"0.000";"0.000";"0.000";"0.030";"0.206";"3505505"
"SIGYN";"2003";"0.000";"0.913";"0.611";"0.888";"2.412";"0.006";"1630100"
"SIGYN";"2004";"0.000";"0.836";"0.660";"0.901";"2.397";"0.022";"1630100"
"SIGYN";"2005";"0.000";"0.844";"0.657";"0.872";"2.374";"0.042";"1630100"
"SIGYN";"2006";"0.000";"0.716";"0.501";"0.646";"1.863";"0.078";"1630100"
"SIGYN";"2007";"0.000";"0.649";"0.492";"0.598";"1.740";"0.095";"1630100"
"SIGYN";"2008";"0.000";"0.546";"0.438";"0.508";"1.492";"0.122";"1630100"
"SIGYN";"2009";"0.000";"0.485";"0.370";"0.440";"1.295";"0.124";"1630100"
"SIGYN";"2010";"0.000";"0.411";"0.256";"0.342";"1.009";"0.119";"1630100"
"SIGYN";"2011";"0.000";"0.438";"0.275";"0.343";"1.056";"0.150";"1630100"
"SIGYN";"2012";"0.000";"0.335";"0.224";"0.275";"0.834";"0.115";"1630100"
"SIGYN";"2013";"0.000";"0.272";"0.176";"0.206";"0.654";"0.102";"1630100"
"SIGYN";"2014";"0.034";"0.178";"0.074";"0.021";"0.307";"0.069";"1630100"
"SIGYN";"2015";"0.068";"0.179";"0.074";"0.000";"0.321";"0.090";"1630100"
"SIGYN";"2016";"0.217";"0.182";"0.131";"0.000";"0.530";"0.056";"1630100"
"SIGYN";"2017";"0.275";"0.139";"0.123";"0.000";"0.537";"0.041";"1630100"
"SIGYN";"2018";"0.068";"0.087";"0.047";"0.000";"0.202";"0.050";"1630100"
"SIGYN";"2019";"0.051";"0.095";"0.041";"0.000";"0.187";"0.071";"1630100"
"SIGYN";"2020";"0.062";"0.067";"0.037";"0.000";"0.167";"0.070";"1630100"
"SIGYN";"2021";"0.031";"0.072";"0.021";"0.000";"0.125";"0.063";"1630100"
"SIGYN";"2022";"0.059";"0.063";"0.016";"0.000";"0.138";"0.078";"1630100"
"SIGYN";"2023";"0.054";"0.047";"0.008";"0.000";"0.109";"0.074";"1630100"
"SINDRE";"2017";"0.020";"0.000";"0.000";"0.000";"0.020";"0.000";"29401178"
"SINDRE";"2018";"0.000";"0.000";"0.000";"0.000";"0.000";"0.000";"29401178"
"SINDRE";"2019";"0.002";"0.000";"0.000";"0.000";"0.002";"0.000";"29401178"
"SINDRE";"2021";"-0.003";"0.007";"0.002";"0.000";"0.005";"0.000";"29401178"
"SINDRE";"2022";"0.003";"0.014";"0.003";"0.000";"0.019";"0.000";"29401178"
"SINDRE";"2023";"0.005";"0.019";"0.003";"0.000";"0.027";"0.002";"29401178"
"SKARV";"2013";"2.124";"2.986";"0.717";"0.000";"5.827";"0.037";"4704482"
"SKARV";"2014";"3.380";"3.613";"0.811";"0.000";"7.805";"0.067";"4704482"
"SKARV";"2015";"3.066";"3.980";"0.889";"0.000";"7.935";"0.087";"4704482"
"SKARV";"2016";"2.299";"4.053";"0.880";"0.000";"7.232";"0.104";"4704482"
"SKARV";"2017";"1.603";"4.047";"0.861";"0.000";"6.511";"0.108";"4704482"
"SKARV";"2018";"1.524";"3.802";"0.857";"0.000";"6.183";"0.104";"4704482"
"SKARV";"2019";"1.283";"3.370";"0.736";"0.000";"5.389";"0.113";"4704482"
"SKARV";"2020";"1.548";"3.243";"0.708";"0.000";"5.500";"0.167";"4704482"
"SKARV";"2021";"1.893";"4.510";"0.900";"0.000";"7.303";"0.275";"4704482"
"SKARV";"2022";"1.457";"6.163";"0.832";"0.000";"8.451";"0.397";"4704482"
"SKARV";"2023";"1.009";"5.423";"0.670";"0.000";"7.103";"0.228";"4704482"
"SKIRNE";"2004";"0.216";"0.657";"0.000";"0.000";"0.873";"0.000";"2138816"
"SKIRNE";"2005";"0.297";"1.197";"0.000";"0.000";"1.493";"0.000";"2138816"
"SKIRNE";"2006";"0.271";"1.277";"0.000";"0.000";"1.548";"0.000";"2138816"
"SKIRNE";"2007";"0.212";"1.023";"0.000";"0.000";"1.235";"0.000";"2138816"
"SKIRNE";"2008";"0.199";"1.108";"0.000";"0.000";"1.307";"0.000";"2138816"
"SKIRNE";"2009";"0.206";"1.204";"0.000";"0.000";"1.409";"0.000";"2138816"
"SKIRNE";"2010";"0.154";"1.002";"0.000";"0.000";"1.156";"0.000";"2138816"
"SKIRNE";"2011";"0.112";"0.795";"0.000";"0.000";"0.907";"0.000";"2138816"
"SKIRNE";"2012";"0.081";"0.612";"0.000";"0.000";"0.693";"0.000";"2138816"
"SKIRNE";"2013";"0.062";"0.493";"0.000";"0.000";"0.554";"0.000";"2138816"
"SKIRNE";"2014";"0.050";"0.356";"0.000";"0.000";"0.406";"0.000";"2138816"
"SKIRNE";"2015";"0.078";"0.436";"0.000";"0.000";"0.514";"0.000";"2138816"
"SKIRNE";"2016";"0.051";"0.036";"0.000";"0.000";"0.087";"0.017";"2138816"
"SKIRNE";"2017";"0.015";"0.335";"0.000";"0.000";"0.350";"0.005";"2138816"
"SKIRNE";"2018";"0.011";"0.277";"0.000";"0.000";"0.287";"0.005";"2138816"
"SKIRNE";"2019";"0.018";"0.188";"0.000";"0.000";"0.206";"0.004";"2138816"
"SKIRNE";"2020";"0.013";"0.120";"0.000";"0.000";"0.134";"0.004";"2138816"
"SKIRNE";"2021";"0.005";"0.025";"0.000";"0.000";"0.030";"0.001";"2138816"
"SKIRNE";"2022";"0.000";"0.002";"0.000";"0.000";"0.002";"0.000";"2138816"
"SKOGUL";"2020";"0.566";"0.056";"0.000";"0.000";"0.622";"0.072";"31164600"
"SKOGUL";"2021";"0.423";"0.041";"0.000";"0.000";"0.463";"0.329";"31164600"
"SKOGUL";"2022";"0.259";"0.019";"0.000";"0.000";"0.278";"0.464";"31164600"
"SKOGUL";"2023";"0.150";"0.008";"0.000";"0.000";"0.158";"0.416";"31164600"
"SKULD";"2013";"0.516";"0.109";"0.031";"0.000";"0.656";"0.054";"21350124"
"SKULD";"2014";"1.154";"0.120";"0.046";"0.000";"1.321";"0.171";"21350124"
"SKULD";"2015";"0.928";"0.063";"0.021";"0.000";"1.012";"0.313";"21350124"
"SKULD";"2016";"0.589";"0.042";"0.015";"0.000";"0.646";"0.284";"21350124"
"SKULD";"2017";"0.506";"0.012";"0.005";"0.000";"0.522";"0.648";"21350124"
"SKULD";"2018";"0.390";"0.000";"0.001";"0.000";"0.391";"0.492";"21350124"
"SKULD";"2019";"0.246";"0.000";"0.000";"0.000";"0.246";"0.415";"21350124"
"SKULD";"2020";"0.173";"0.000";"0.000";"0.000";"0.173";"0.393";"21350124"
"SKULD";"2021";"0.131";"0.000";"0.000";"0.000";"0.131";"0.327";"21350124"
"SKULD";"2022";"0.137";"0.000";"0.000";"0.000";"0.137";"0.494";"21350124"
"SKULD";"2023";"0.022";"0.000";"0.000";"0.000";"0.022";"0.105";"21350124"
"SLEIPNER VEST";"1996";"0.000";"0.000";"0.207";"0.497";"0.704";"0.000";"43457"
"SLEIPNER VEST";"1997";"0.000";"0.442";"0.780";"2.262";"3.485";"0.000";"43457"
"SLEIPNER VEST";"1998";"0.000";"1.453";"0.865";"2.260";"4.578";"0.000";"43457"
"SLEIPNER VEST";"1999";"0.000";"3.100";"1.084";"2.379";"6.563";"0.000";"43457"
"SLEIPNER VEST";"2000";"0.000";"0.000";"1.069";"2.262";"3.331";"0.089";"43457"
"SLEIPNER VEST";"2001";"0.000";"0.000";"1.363";"2.150";"3.514";"0.113";"43457"
"SLEIPNER VEST";"2002";"0.000";"0.000";"1.341";"1.988";"3.329";"0.093";"43457"
"SLEIPNER VEST";"2003";"0.000";"0.000";"1.078";"1.792";"2.870";"0.122";"43457"
"SLEIPNER VEST";"2004";"0.000";"0.000";"0.881";"1.486";"2.367";"0.144";"43457"
"SLEIPNER VEST";"2005";"0.000";"0.000";"0.914";"1.778";"2.692";"0.160";"43457"
"SLEIPNER VEST";"2006";"0.000";"0.000";"0.907";"1.592";"2.499";"0.190";"43457"
"SLEIPNER VEST";"2007";"0.000";"0.000";"0.879";"1.599";"2.477";"0.215";"43457"
"SLEIPNER VEST";"2008";"0.000";"0.000";"0.711";"1.267";"1.979";"0.127";"43457"
"SLEIPNER VEST";"2009";"0.000";"0.000";"0.842";"1.241";"2.083";"0.122";"43457"
"SLEIPNER VEST";"2010";"0.000";"0.000";"0.764";"1.047";"1.811";"0.114";"43457"
"SLEIPNER VEST";"2011";"0.000";"0.000";"0.970";"1.455";"2.426";"0.142";"43457"
"SLEIPNER VEST";"2012";"0.000";"0.000";"0.887";"1.330";"2.217";"0.220";"43457"
"SLEIPNER VEST";"2013";"0.000";"0.000";"0.759";"1.056";"1.816";"0.219";"43457"
"SLEIPNER VEST";"2014";"0.650";"3.169";"0.586";"0.220";"4.625";"0.191";"43457"
"SLEIPNER VEST";"2015";"0.826";"4.078";"0.526";"0.000";"5.430";"0.365";"43457"
"SLEIPNER VEST";"2016";"0.770";"3.620";"0.390";"0.000";"4.780";"0.281";"43457"
"SLEIPNER VEST";"2017";"0.736";"3.447";"0.387";"0.000";"4.570";"0.165";"43457"
"SLEIPNER VEST";"2018";"0.688";"3.159";"0.433";"0.000";"4.279";"0.173";"43457"
"SLEIPNER VEST";"2019";"0.548";"2.811";"0.397";"0.000";"3.756";"0.148";"43457"
"SLEIPNER VEST";"2020";"0.429";"2.294";"0.339";"0.000";"3.063";"0.153";"43457"
"SLEIPNER VEST";"2021";"0.311";"1.822";"0.209";"0.000";"2.342";"0.112";"43457"
"SLEIPNER VEST";"2022";"0.195";"1.334";"0.055";"0.000";"1.583";"0.047";"43457"
"SLEIPNER VEST";"2023";"0.245";"1.577";"0.057";"0.000";"1.879";"0.065";"43457"
"SLEIPNER ØST";"1993";"0.000";"0.834";"0.299";"0.440";"1.573";"0.000";"43478"
"SLEIPNER ØST";"1994";"0.000";"3.952";"1.784";"2.383";"8.119";"0.000";"43478"
"SLEIPNER ØST";"1995";"0.000";"5.195";"2.489";"3.168";"10.852";"0.000";"43478"
"SLEIPNER ØST";"1996";"0.000";"7.625";"2.548";"3.195";"13.369";"0.000";"43478"
"SLEIPNER ØST";"1997";"0.000";"7.500";"2.187";"2.700";"12.387";"0.000";"43478"
"SLEIPNER ØST";"1998";"0.000";"7.198";"2.102";"2.586";"11.886";"0.000";"43478"
"SLEIPNER ØST";"1999";"0.000";"8.069";"2.206";"2.637";"12.913";"0.000";"43478"
"SLEIPNER ØST";"2000";"0.000";"11.806";"1.854";"2.113";"15.773";"0.047";"43478"
"SLEIPNER ØST";"2001";"0.000";"11.641";"1.821";"1.877";"15.339";"0.044";"43478"
"SLEIPNER ØST";"2002";"0.000";"13.481";"1.734";"1.529";"16.743";"0.096";"43478"
"SLEIPNER ØST";"2003";"0.000";"13.233";"1.083";"1.015";"15.331";"0.065";"43478"
"SLEIPNER ØST";"2004";"0.000";"12.692";"0.904";"0.720";"14.316";"0.055";"43478"
"SLEIPNER ØST";"2005";"0.000";"14.321";"0.806";"0.607";"15.734";"0.093";"43478"
"SLEIPNER ØST";"2006";"0.000";"13.215";"0.700";"0.467";"14.382";"0.211";"43478"
"SLEIPNER ØST";"2007";"0.000";"13.420";"0.610";"0.413";"14.443";"0.224";"43478"
"SLEIPNER ØST";"2008";"0.000";"11.335";"0.484";"0.309";"12.129";"0.154";"43478"
"SLEIPNER ØST";"2009";"0.000";"10.083";"0.406";"0.219";"10.708";"0.048";"43478"
"SLEIPNER ØST";"2010";"0.000";"8.088";"0.312";"0.144";"8.544";"0.031";"43478"
"SLEIPNER ØST";"2011";"0.000";"8.098";"0.262";"0.143";"8.503";"0.031";"43478"
"SLEIPNER ØST";"2012";"0.000";"6.896";"0.209";"0.091";"7.196";"0.033";"43478"
"SLEIPNER ØST";"2013";"0.000";"5.940";"0.142";"0.060";"6.142";"0.020";"43478"
"SLEIPNER ØST";"2014";"0.052";"1.512";"0.087";"0.018";"1.668";"0.021";"43478"
"SLEIPNER ØST";"2015";"0.068";"0.349";"0.075";"0.000";"0.492";"0.024";"43478"
"SLEIPNER ØST";"2016";"0.059";"0.292";"0.057";"0.000";"0.408";"0.025";"43478"
"SLEIPNER ØST";"2017";"0.053";"0.138";"0.032";"0.000";"0.223";"0.018";"43478"
"SLEIPNER ØST";"2018";"0.043";"0.193";"0.046";"0.000";"0.282";"0.016";"43478"
"SLEIPNER ØST";"2019";"0.042";"0.170";"0.042";"0.000";"0.254";"0.014";"43478"
"SLEIPNER ØST";"2020";"0.032";"0.142";"0.033";"0.000";"0.207";"0.017";"43478"
"SLEIPNER ØST";"2021";"0.017";"0.089";"0.013";"0.000";"0.120";"0.014";"43478"
"SLEIPNER ØST";"2022";"0.014";"0.076";"0.003";"0.000";"0.094";"0.009";"43478"
"SLEIPNER ØST";"2023";"0.014";"0.073";"0.003";"0.000";"0.090";"0.012";"43478"
"SNORRE";"1992";"1.558";"0.000";"0.087";"0.000";"1.645";"0.000";"43718"
"SNORRE";"1993";"6.909";"0.215";"0.495";"0.000";"7.620";"0.000";"43718"
"SNORRE";"1994";"9.872";"0.454";"0.610";"0.000";"10.936";"0.000";"43718"
"SNORRE";"1995";"11.374";"0.627";"0.680";"0.000";"12.681";"0.000";"43718"
"SNORRE";"1996";"11.482";"0.611";"0.628";"0.000";"12.721";"0.000";"43718"
"SNORRE";"1997";"10.770";"0.577";"0.568";"0.000";"11.915";"0.000";"43718"
"SNORRE";"1998";"10.091";"0.457";"0.615";"0.000";"11.163";"0.000";"43718"
"SNORRE";"1999";"9.399";"0.308";"0.557";"0.000";"10.264";"0.000";"43718"
"SNORRE";"2000";"8.587";"0.292";"0.535";"0.000";"9.415";"6.285";"43718"
"SNORRE";"2001";"11.545";"0.521";"0.975";"0.000";"13.041";"6.353";"43718"
"SNORRE";"2002";"12.640";"0.450";"0.936";"0.000";"14.026";"6.134";"43718"
"SNORRE";"2003";"13.598";"0.406";"0.667";"0.000";"14.671";"7.101";"43718"
"SNORRE";"2004";"11.539";"0.193";"0.262";"0.000";"11.993";"7.409";"43718"
"SNORRE";"2005";"8.956";"0.343";"0.405";"0.000";"9.703";"5.902";"43718"
"SNORRE";"2006";"8.315";"0.147";"0.220";"0.000";"8.682";"7.815";"43718"
"SNORRE";"2007";"8.382";"0.064";"0.084";"0.000";"8.530";"9.809";"43718"
"SNORRE";"2008";"8.472";"0.229";"0.183";"0.002";"8.886";"8.474";"43718"
"SNORRE";"2009";"6.006";"0.139";"0.095";"0.005";"6.246";"6.781";"43718"
"SNORRE";"2010";"5.830";"0.138";"0.095";"0.005";"6.068";"8.117";"43718"
"SNORRE";"2011";"5.517";"0.119";"0.088";"0.004";"5.727";"7.717";"43718"
"SNORRE";"2012";"4.450";"0.034";"0.026";"0.002";"4.512";"7.854";"43718"
"SNORRE";"2013";"5.088";"0.019";"0.027";"0.004";"5.138";"9.337";"43718"
"SNORRE";"2014";"5.619";"0.009";"0.006";"0.000";"5.634";"10.053";"43718"
"SNORRE";"2015";"6.360";"0.000";"0.000";"0.000";"6.360";"11.154";"43718"
"SNORRE";"2016";"5.724";"0.000";"0.000";"0.000";"5.724";"10.617";"43718"
"SNORRE";"2017";"4.816";"0.068";"0.113";"0.000";"4.997";"9.397";"43718"
"SNORRE";"2018";"5.333";"0.000";"0.000";"0.000";"5.333";"9.706";"43718"
"SNORRE";"2019";"3.025";"0.011";"0.031";"0.000";"3.068";"5.679";"43718"
"SNORRE";"2020";"3.914";"0.000";"0.000";"0.000";"3.914";"5.877";"43718"
"SNORRE";"2021";"5.822";"0.000";"0.000";"0.000";"5.822";"8.509";"43718"
"SNORRE";"2022";"6.059";"0.000";"0.000";"0.000";"6.059";"8.637";"43718"
"SNORRE";"2023";"4.560";"0.000";"0.000";"0.000";"4.560";"6.848";"43718"
"SNØHVIT";"2007";"0.000";"0.145";"0.014";"0.111";"0.270";"0.000";"2053062"
"SNØHVIT";"2008";"0.000";"2.355";"0.247";"0.506";"3.108";"0.000";"2053062"
"SNØHVIT";"2009";"0.000";"3.333";"0.325";"0.599";"4.256";"0.000";"2053062"
"SNØHVIT";"2010";"0.000";"4.999";"0.472";"0.842";"6.313";"0.000";"2053062"
"SNØHVIT";"2011";"0.000";"4.315";"0.404";"0.718";"5.437";"0.000";"2053062"
"SNØHVIT";"2012";"0.000";"4.651";"0.430";"0.771";"5.852";"0.000";"2053062"
"SNØHVIT";"2013";"0.000";"4.289";"0.406";"0.694";"5.389";"0.000";"2053062"
"SNØHVIT";"2014";"0.000";"5.224";"0.478";"0.806";"6.508";"0.000";"2053062"
"SNØHVIT";"2015";"0.000";"5.963";"0.539";"0.882";"7.385";"0.009";"2053062"
"SNØHVIT";"2016";"0.000";"6.055";"0.549";"0.872";"7.476";"0.023";"2053062"
"SNØHVIT";"2017";"0.000";"5.576";"0.514";"0.786";"6.877";"0.022";"2053062"
"SNØHVIT";"2018";"0.000";"6.451";"0.579";"0.882";"7.912";"0.026";"2053062"
"SNØHVIT";"2019";"0.000";"6.216";"0.529";"0.827";"7.573";"0.027";"2053062"
"SNØHVIT";"2020";"0.000";"3.776";"0.300";"0.493";"4.569";"0.017";"2053062"
"SNØHVIT";"2021";"0.000";"-0.036";"-0.004";"0.000";"-0.040";"0.000";"2053062"
"SNØHVIT";"2022";"0.000";"3.690";"0.254";"0.463";"4.406";"0.017";"2053062"
"SNØHVIT";"2023";"0.000";"4.777";"0.261";"0.572";"5.609";"0.022";"2053062"
"SOLVEIG";"2021";"0.088";"0.000";"0.000";"0.000";"0.088";"0.001";"34833011"
"SOLVEIG";"2022";"0.432";"0.000";"0.000";"0.000";"0.432";"0.015";"34833011"
"SOLVEIG";"2023";"0.796";"0.013";"0.000";"0.000";"0.808";"0.029";"34833011"
"STATFJORD";"1979";"0.259";"0.000";"0.000";"0.000";"0.259";"0.000";"43658"
"STATFJORD";"1980";"3.429";"0.000";"0.000";"0.000";"3.429";"0.000";"43658"
"STATFJORD";"1981";"7.928";"0.000";"0.000";"0.000";"7.928";"0.000";"43658"
"STATFJORD";"1982";"11.397";"0.000";"0.000";"0.000";"11.397";"0.000";"43658"
"STATFJORD";"1983";"19.044";"0.000";"0.000";"0.000";"19.044";"0.000";"43658"
"STATFJORD";"1984";"22.437";"0.000";"0.000";"0.000";"22.437";"0.000";"43658"
"STATFJORD";"1985";"28.762";"0.454";"0.302";"0.000";"29.518";"0.000";"43658"
"STATFJORD";"1986";"34.281";"3.010";"1.653";"0.000";"38.944";"0.000";"43658"
"STATFJORD";"1987";"34.959";"3.260";"1.861";"0.000";"40.080";"0.000";"43658"
"STATFJORD";"1988";"34.586";"3.203";"1.795";"0.000";"39.583";"0.000";"43658"
"STATFJORD";"1989";"33.993";"3.014";"1.633";"0.000";"38.639";"0.000";"43658"
"STATFJORD";"1990";"33.314";"2.972";"1.606";"0.000";"37.892";"0.000";"43658"
"STATFJORD";"1991";"34.858";"2.838";"1.506";"0.000";"39.202";"0.000";"43658"
"STATFJORD";"1992";"36.989";"2.981";"1.531";"0.000";"41.502";"0.000";"43658"
"STATFJORD";"1993";"33.304";"2.960";"1.357";"0.000";"37.622";"0.000";"43658"
"STATFJORD";"1994";"31.731";"3.144";"1.391";"0.000";"36.266";"0.000";"43658"
"STATFJORD";"1995";"25.878";"2.942";"1.315";"0.000";"30.135";"0.000";"43658"
"STATFJORD";"1996";"21.609";"3.236";"1.510";"0.000";"26.356";"0.000";"43658"
"STATFJORD";"1997";"19.155";"3.094";"1.443";"0.000";"23.692";"0.000";"43658"
"STATFJORD";"1998";"16.596";"2.512";"1.207";"0.000";"20.314";"0.000";"43658"
"STATFJORD";"1999";"12.519";"2.280";"1.047";"0.000";"15.846";"0.000";"43658"
"STATFJORD";"2000";"10.886";"1.552";"0.722";"0.000";"13.159";"34.503";"43658"
"STATFJORD";"2001";"10.126";"1.434";"0.646";"0.000";"12.206";"34.919";"43658"
"STATFJORD";"2002";"8.872";"1.514";"0.626";"0.000";"11.011";"34.071";"43658"
"STATFJORD";"2003";"7.755";"1.194";"0.622";"0.000";"9.570";"35.440";"43658"
"STATFJORD";"2004";"6.970";"2.141";"0.693";"0.067";"9.872";"33.689";"43658"
"STATFJORD";"2005";"5.563";"1.960";"0.764";"0.045";"8.332";"38.967";"43658"
"STATFJORD";"2006";"4.259";"1.948";"0.981";"0.016";"7.204";"31.578";"43658"
"STATFJORD";"2007";"3.981";"2.012";"1.016";"0.045";"7.054";"36.166";"43658"
"STATFJORD";"2008";"3.177";"3.023";"1.304";"0.116";"7.621";"32.242";"43658"
"STATFJORD";"2009";"2.111";"2.475";"1.027";"0.096";"5.709";"20.089";"43658"
"STATFJORD";"2010";"1.999";"2.293";"0.884";"0.080";"5.256";"17.978";"43658"
"STATFJORD";"2011";"1.882";"1.349";"0.423";"0.041";"3.695";"20.302";"43658"
"STATFJORD";"2012";"1.541";"1.330";"0.553";"0.039";"3.464";"21.174";"43658"
"STATFJORD";"2013";"1.594";"1.471";"0.944";"0.066";"4.075";"25.251";"43658"
"STATFJORD";"2014";"1.409";"1.773";"1.371";"0.138";"4.691";"28.140";"43658"
"STATFJORD";"2015";"1.365";"2.401";"1.739";"0.183";"5.687";"26.418";"43658"
"STATFJORD";"2016";"1.439";"2.686";"1.901";"0.000";"6.026";"21.522";"43658"
"STATFJORD";"2017";"1.178";"1.832";"1.413";"0.000";"4.423";"18.313";"43658"
"STATFJORD";"2018";"1.009";"1.300";"0.966";"0.000";"3.275";"16.964";"43658"
"STATFJORD";"2019";"0.825";"1.091";"0.670";"0.000";"2.587";"13.193";"43658"
"STATFJORD";"2020";"0.832";"0.933";"0.722";"0.000";"2.486";"16.510";"43658"
"STATFJORD";"2021";"0.826";"0.822";"0.558";"0.000";"2.206";"15.729";"43658"
"STATFJORD";"2022";"0.573";"0.686";"0.301";"0.000";"1.560";"11.695";"43658"
"STATFJORD";"2023";"0.605";"0.531";"0.206";"0.000";"1.342";"10.032";"43658"
"STATFJORD NORD";"1995";"2.548";"0.119";"0.070";"0.000";"2.737";"0.000";"43679"
"STATFJORD NORD";"1996";"3.307";"0.329";"0.159";"0.000";"3.795";"0.000";"43679"
"STATFJORD NORD";"1997";"3.935";"0.173";"0.092";"0.000";"4.200";"0.000";"43679"
"STATFJORD NORD";"1998";"3.035";"0.166";"0.088";"0.000";"3.289";"0.000";"43679"
"STATFJORD NORD";"1999";"3.393";"0.157";"0.089";"0.000";"3.639";"0.000";"43679"
"STATFJORD NORD";"2000";"3.998";"0.121";"0.081";"0.000";"4.200";"1.023";"43679"
"STATFJORD NORD";"2001";"2.841";"0.114";"0.108";"0.000";"3.063";"2.702";"43679"
"STATFJORD NORD";"2002";"2.275";"0.138";"0.126";"0.000";"2.538";"2.892";"43679"
"STATFJORD NORD";"2003";"2.830";"0.184";"0.137";"0.000";"3.152";"3.299";"43679"
"STATFJORD NORD";"2004";"2.163";"0.153";"0.116";"0.000";"2.432";"3.644";"43679"
"STATFJORD NORD";"2005";"1.906";"0.266";"0.198";"0.000";"2.371";"3.791";"43679"
"STATFJORD NORD";"2006";"1.310";"0.160";"0.115";"0.000";"1.585";"3.700";"43679"
"STATFJORD NORD";"2007";"1.127";"0.089";"0.064";"0.000";"1.279";"4.721";"43679"
"STATFJORD NORD";"2008";"0.744";"0.038";"0.027";"0.000";"0.809";"3.907";"43679"
"STATFJORD NORD";"2009";"0.286";"0.016";"0.007";"0.001";"0.309";"1.296";"43679"
"STATFJORD NORD";"2010";"0.409";"0.031";"0.012";"0.001";"0.453";"1.857";"43679"
"STATFJORD NORD";"2011";"0.246";"0.024";"0.008";"0.001";"0.278";"2.124";"43679"
"STATFJORD NORD";"2012";"0.165";"0.010";"0.003";"0.000";"0.178";"1.251";"43679"
"STATFJORD NORD";"2013";"0.164";"0.012";"0.008";"0.001";"0.184";"1.147";"43679"
"STATFJORD NORD";"2014";"0.261";"0.017";"0.014";"0.001";"0.294";"1.905";"43679"
"STATFJORD NORD";"2015";"0.299";"0.019";"0.013";"0.002";"0.332";"1.341";"43679"
"STATFJORD NORD";"2016";"0.609";"0.039";"0.029";"0.000";"0.677";"2.001";"43679"
"STATFJORD NORD";"2017";"0.616";"0.044";"0.034";"0.000";"0.694";"3.575";"43679"
"STATFJORD NORD";"2018";"0.413";"0.030";"0.023";"0.000";"0.466";"2.826";"43679"
"STATFJORD NORD";"2019";"0.404";"0.022";"0.015";"0.000";"0.440";"3.348";"43679"
"STATFJORD NORD";"2020";"0.519";"0.017";"0.015";"0.000";"0.550";"4.861";"43679"
